192,91,344,126,2,19,26,13,51,7,76,2,101,1,126,0,152,3,150,18,125,21,100,24,75,27,49,28,24,32,0,35
199,111,335,134,1,14,23,11,46,9,68,7,91,4,113,2,136,0,135,11,112,13,90,15,67,17,45,19,22,21,0,23
329,120,486,156,0,12,26,10,52,8,78,6,104,4,130,2,157,0,157,25,131,26,105,28,80,30,54,32,28,34,3,36
368,150,441,182,0,4,12,3,24,2,36,2,48,1,60,0,73,0,64,30,54,30,44,30,34,31,24,31,14,31,5,32
101,145,209,172,1,7,18,5,36,4,54,3,72,2,90,1,108,0,104,20,86,21,69,22,52,23,34,24,17,25,0,27
107,170,188,191,0,4,13,3,27,2,40,2,54,1,67,0,81,0,81,21,68,19,55,17,43,15,30,13,17,11,5,9
97,185,174,208,0,0,12,1,26,1,38,3,51,4,64,8,77,11,74,23,62,19,50,16,37,15,25,15,13,14,1,14
102,231,165,246,0,0,10,0,20,0,31,0,41,0,51,0,62,1,63,15,52,15,42,15,32,15,21,15,11,15,1,15
173,196,496,221,0,10,53,8,107,6,160,5,214,3,267,1,321,0,323,16,269,17,215,19,161,20,107,22,53,23,0,25
353,233,434,248,1,2,14,1,27,1,41,1,54,0,67,0,81,0,81,15,67,14,54,14,40,14,27,14,13,14,0,14
