34,52,168,86,0,15,22,7,44,2,67,0,89,2,111,7,134,16,124,33,104,27,84,23,64,21,45,23,25,28,6,34
35,86,167,102,0,0,22,0,44,0,66,1,88,1,110,1,132,2,132,16,110,15,88,15,66,15,44,15,22,15,0,15
36,105,167,116,0,0,21,0,43,0,65,0,87,0,109,0,131,0,131,11,109,11,87,11,65,11,43,11,21,11,0,11
55,137,152,149,0,0,16,0,32,0,48,0,64,0,80,0,97,0,97,12,80,12,64,12,48,12,32,12,16,12,0,12
50,159,150,167,0,0,16,0,33,0,50,0,66,0,83,0,100,0,100,8,83,8,66,8,50,8,33,8,16,8,0,8
43,175,168,183,0,0,20,0,41,0,62,0,83,0,104,0,125,0,125,8,104,8,83,8,62,8,41,8,20,8,0,8
43,183,146,191,0,0,17,0,34,0,51,0,68,0,85,0,103,0,103,8,85,8,68,8,51,8,34,8,17,8,0,8
33,192,173,199,0,0,23,0,46,0,70,0,93,0,116,0,140,0,140,7,116,7,93,7,70,7,46,7,23,7,0,7
56,207,151,229,0,0,15,0,31,0,47,0,63,0,79,0,95,0,95,22,79,22,63,22,47,22,31,22,15,22,0,22
80,254,151,264,0,0,11,0,23,0,35,0,47,0,59,0,71,0,71,10,59,10,47,10,35,10,23,10,11,10,0,10
80,232,151,239,0,0,11,0,23,0,35,0,47,0,59,0,71,0,71,7,59,7,47,7,35,7,23,7,11,7,0,7
78,242,151,252,0,0,12,0,24,0,36,0,48,0,60,0,73,0,73,10,60,10,48,10,36,10,24,10,12,10,0,10
