110,56,189,74,1,6,14,6,26,4,39,1,52,0,65,1,79,5,74,16,61,12,49,11,36,13,24,14,12,17,0,18
48,73,152,94,6,1,21,7,37,10,53,10,68,8,84,4,100,0,104,10,86,16,69,20,51,21,34,21,17,17,0,9
70,128,159,166,0,0,14,0,29,0,44,0,59,0,74,0,89,0,89,38,74,38,59,38,44,38,29,38,14,38,0,38
32,170,198,206,0,0,27,0,55,0,83,0,110,0,138,0,166,0,166,36,138,36,110,36,83,36,55,36,27,36,0,36
48,221,182,236,0,0,22,0,44,0,67,1,89,1,111,1,134,2,134,15,111,14,89,14,67,14,44,13,22,13,0,13
37,249,197,264,0,0,26,0,53,1,80,1,106,2,133,2,160,3,158,15,131,14,105,14,79,14,52,13,26,13,0,13
46,271,187,283,0,0,23,0,47,1,70,2,94,2,117,3,141,4,141,12,117,11,94,10,70,10,47,9,23,8,0,8
60,282,173,294,0,0,18,0,37,1,56,1,75,2,94,2,113,3,112,12,93,11,75,11,56,10,38,10,19,9,1,9
41,292,192,304,0,0,25,0,50,1,75,2,100,2,125,3,151,4,151,12,126,11,101,10,76,10,51,9,26,8,2,8
47,302,185,314,0,0,23,0,46,1,69,2,92,2,115,3,138,4,138,12,115,11,92,10,69,10,46,9,23,8,0,8
