803,229,803,207,874,207,874,229
136,95,50,91,51,67,137,71
401,91,303,86,305,56,403,61
1,90,1,71,47,71,47,90
413,141,301,135,302,118,414,124
230,79,114,73,116,35,232,40
104,132,73,132,73,113,104,113
152,134,102,133,103,113,153,115
209,137,152,134,153,115,210,118
381,105,318,102,319,84,382,87
144,117,72,114,73,96,145,99
70,113,38,111,39,95,71,97
254,124,210,119,212,101,256,106
208,119,145,117,146,98,209,100
52,68,52,31,115,31,115,68
1,112,1,95,37,95,37,112
50,129,6,128,7,111,51,113
1239,175,1239,154,1279,154,1279,175
754,269,754,254,781,254,781,269
