284,563,266,542,360,459,378,480
110,242,88,226,143,150,166,166
508,72,506,50,559,43,562,66
367,485,352,468,422,407,437,424
645,617,641,561,660,559,664,615
240,277,222,160,377,136,395,254
633,619,627,558,643,556,649,617
524,203,524,180,579,180,579,203
425,710,425,650,458,650,458,710
284,325,278,311,320,293,326,307
551,370,551,347,601,347,601,370
539,295,539,272,593,272,593,295
762,247,762,232,789,232,789,247
297,366,290,354,345,324,351,337
727,249,727,235,761,235,761,249
75,94,62,81,108,34,122,48
324,305,319,293,348,281,353,294
739,152,739,137,761,137,761,152
682,157,680,145,728,140,729,152
811,466,782,466,782,452,811,452
266,359,259,346,286,331,293,344
45,125,30,109,79,64,93,80
290,345,284,331,306,322,312,335
352,294,347,280,370,271,376,284
705,368,705,356,757,356,757,368
311,337,304,323,347,302,353,315
511,208,511,150,612,150,612,208
702,263,701,251,765,245,767,257
154,171,142,159,165,136,177,148
348,719,330,709,375,659,392,675
