320,167,209,165,210,129,321,131
205,161,93,159,94,120,206,122
359,136,220,126,223,87,362,97
93,282,93,267,138,267,138,282
89,205,89,186,180,186,180,205
93,394,90,376,187,363,190,381
182,120,90,117,92,75,184,78
93,357,91,338,170,331,172,350
140,281,140,264,182,264,182,281
183,280,182,261,223,260,224,278
93,319,93,301,137,301,137,319
99,466,96,448,155,438,158,456
91,238,91,223,132,223,132,238
134,239,134,222,192,222,192,239
156,456,153,439,191,432,194,448
166,314,165,298,227,295,228,312
134,492,130,474,213,457,217,476
92,269,92,254,159,254,159,269
168,349,166,332,236,325,238,342
101,496,99,479,131,476,133,493
96,429,93,412,138,405,141,422
155,420,152,404,192,397,195,413
298,385,295,369,372,355,375,371
282,417,280,402,342,391,344,406
257,422,254,407,281,402,284,417
256,347,256,323,371,323,371,347
324,168,324,138,360,138,360,168
261,716,261,603,364,603,364,716
