1016,83,1006,50,1077,29,1087,61
1018,240,1016,201,1110,197,1112,236
1109,239,1108,190,1276,188,1277,236
941,133,937,99,1010,90,1014,124
989,201,988,166,1073,164,1074,199
940,98,936,66,981,61,984,93
939,208,939,179,987,179,987,208
1018,118,1009,79,1105,58,1113,97
941,316,941,290,991,290,991,316
940,242,940,210,1017,210,1017,242
968,357,968,325,1023,325,1023,357
1080,326,989,320,992,285,1083,290
933,397,747,385,754,272,940,285
1274,541,1064,486,1076,440,1279,495
1115,373,1021,368,1023,330,1117,335
1273,339,1164,335,1166,297,1275,301
943,719,735,622,781,529,988,629
1076,195,1074,160,1127,158,1128,193
