381,140,380,126,409,124,410,138
212,163,210,138,321,129,323,154
1002,152,1001,136,1061,132,1063,147
933,190,931,161,1000,156,1002,185
201,371,163,369,164,348,202,350
1015,125,1015,110,1047,110,1047,125
1017,162,1016,149,1047,147,1048,160
152,276,151,255,208,253,209,274
323,149,321,132,381,126,383,143
1025,137,1024,122,1064,120,1065,135
161,470,161,448,217,448,217,470
411,136,411,121,433,121,433,136
1001,140,1000,125,1024,123,1025,138
434,134,432,120,462,117,464,130
1216,508,1216,429,1244,429,1244,508
462,132,462,113,490,113,490,132
