1029,434,1029,404,1207,404,1207,434
733,238,733,200,900,200,900,238
1025,408,1025,346,1208,346,1208,408
804,255,804,243,856,243,856,255
1020,178,1020,163,1057,163,1057,178
808,312,784,312,784,301,808,301
870,331,870,317,923,317,923,331
853,257,853,242,907,242,907,257
797,333,797,318,851,318,851,333
356,441,356,427,387,427,387,441
938,311,938,254,969,254,969,311
266,278,181,267,186,232,271,243
102,291,102,268,138,268,138,291
850,333,850,319,873,319,873,333
435,335,435,297,486,297,486,335
34,286,34,264,81,264,81,286
759,194,759,182,791,182,791,194
1018,614,1018,433,1279,433,1279,614
847,312,815,312,815,301,847,301
