263,262,262,241,343,236,345,257
251,219,251,200,339,200,339,219
94,336,94,309,124,309,124,336
252,201,252,184,300,184,300,201
220,260,220,243,262,243,262,260
222,219,222,202,252,202,252,219
149,324,149,302,173,302,173,324
268,243,267,223,333,220,334,240
229,243,229,225,268,225,268,243
771,131,753,94,836,53,854,91
208,330,207,309,261,307,262,328
213,203,213,185,252,185,252,203
122,331,122,304,151,304,151,331
225,300,225,283,278,283,278,300
214,284,214,265,280,265,280,284
261,326,260,307,306,305,307,324
301,201,301,182,343,182,343,201
277,299,276,281,319,279,320,297
987,209,980,145,1032,140,1039,203
82,281,43,277,45,259,84,264
91,290,91,273,137,273,137,290
