994,239,990,199,1128,185,1132,225
1135,218,1131,191,1237,176,1241,203
1038,301,1038,283,1090,283,1090,301
991,275,989,256,1080,250,1082,269
1133,305,1092,302,1094,282,1135,285
1151,398,1110,395,1112,377,1153,380
1183,398,1154,398,1154,382,1183,382
1082,271,1080,249,1145,244,1147,265
1008,299,1008,284,1034,284,1034,299
1027,330,1027,314,1077,314,1077,330
1077,331,1077,315,1107,315,1107,331
937,242,934,204,991,201,994,239
1112,394,961,387,962,370,1113,377
1175,334,1175,318,1239,318,1239,334
1109,332,1109,316,1193,316,1193,332
968,274,968,260,991,260,991,274
